2015/08/25,4,4
2015/08/26,2,6
2015/08/27,11,17
2015/08/29,1,18
2015/09/01,1,19
2015/09/04,3,22
2015/09/06,1,23
2015/09/08,1,24
2015/09/09,1,25
2015/10/07,1,26
2015/10/14,1,27
2015/10/18,3,30
2015/10/29,1,31
2015/11/12,2,33
2015/11/13,1,34
2015/11/19,1,35
2015/11/22,1,36
2015/11/23,1,37
2015/11/28,1,38
2015/12/03,1,39
2015/12/13,1,40
2015/12/14,1,41
2015/12/15,1,42
2015/12/16,1,43
2015/12/21,1,44
2015/12/22,3,47
2016/01/05,3,50
2016/01/09,1,51
2016/01/12,1,52
2016/01/24,1,53
2016/01/26,1,54
2016/02/02,1,55
2016/02/08,1,56
2016/02/12,1,57
2016/02/16,1,58
2016/02/17,1,59
2016/02/20,1,60
2016/02/21,1,61
2016/02/22,1,62
2016/03/02,1,63
2016/03/10,1,64
2016/03/16,1,65
2016/03/19,3,68
2016/03/26,1,69
2016/04/08,1,70
2016/04/10,1,71
2016/04/19,2,73
2016/04/21,1,74
2016/04/22,1,75
2016/04/25,2,77
2016/04/28,1,78
2016/05/02,1,79
2016/05/06,1,80
2016/05/17,1,81
2016/05/19,1,82
2016/05/20,1,83
2016/05/21,2,85
2016/05/23,1,86
2016/05/24,1,87
2016/05/26,1,88
2016/05/27,1,89
2016/06/01,1,90
2016/06/02,1,91
2016/06/04,1,92
2016/06/13,2,94
2016/06/14,1,95
2016/06/15,1,96
2016/06/16,1,97
2016/06/20,1,98
2016/06/21,1,99
2016/06/25,1,100
2016/06/27,1,101
2016/06/29,1,102
2016/07/02,1,103
2016/07/05,1,104
2016/07/07,1,105
2016/07/12,1,106
2016/07/22,3,109
2016/07/25,1,110
2016/07/26,2,112
2016/07/27,1,113
2016/07/28,1,114
2016/07/29,2,116
2016/07/30,1,117
2016/08/02,2,119
2016/08/04,1,120
2016/08/05,1,121
2016/08/06,1,122
2016/08/07,2,124
2016/08/08,2,126
2016/08/09,1,127
2016/08/11,1,128
2016/08/12,2,130
2016/08/17,2,132
2016/08/20,2,134
2016/08/23,1,135
2016/08/25,50,185
2016/08/26,11,196
2016/08/27,3,199
2016/08/28,3,202
2016/08/29,5,207
2016/08/31,2,209
2016/09/01,4,213
2016/09/02,1,214
2016/09/03,4,218
2016/09/04,2,220
2016/09/05,3,223
2016/09/07,1,224
2016/09/08,1,225
2016/09/09,1,226
2016/09/10,2,228
2016/09/11,1,229
2016/09/13,1,230
2016/09/14,2,232
2016/09/15,3,235
2016/09/16,1,236
2016/09/18,1,237
2016/09/19,1,238
2016/09/20,1,239
2016/09/22,2,241
2016/09/26,2,243
2016/09/27,2,245
2016/09/28,2,247
2016/09/29,2,249
2016/09/30,1,250
2016/10/02,1,251
2016/10/05,1,252
2016/10/06,3,255
2016/10/07,1,256
2016/10/08,1,257
2016/10/09,4,261
2016/10/10,1,262
2016/10/11,10,272
2016/10/12,22,294
2016/10/13,15,309
2016/10/14,10,319
2016/10/15,10,329
2016/10/16,5,334
2016/10/17,3,337
2016/10/18,3,340
2016/10/19,4,344
2016/10/20,5,349
2016/10/21,3,352
2016/10/22,3,355
2016/10/23,5,360
2016/10/24,2,362
2016/10/25,3,365
2016/10/26,4,369
2016/10/27,3,372
2016/10/28,2,374
2016/10/29,1,375
2016/10/31,2,377
2016/11/01,1,378
2016/11/02,1,379
2016/11/03,2,381
2016/11/04,5,386
2016/11/05,3,389
2016/11/07,1,390
2016/11/09,1,391
2016/11/10,2,393
2016/11/11,3,396
2016/11/12,2,398
2016/11/13,2,400
2016/11/14,1,401
2016/11/15,3,404
2016/11/17,1,405
2016/11/19,2,407
2016/11/21,3,410
2016/11/22,1,411
2016/11/23,2,413
2016/11/24,2,415
2016/11/25,2,417
2016/11/27,1,418
2016/11/28,1,419
2016/11/29,2,421
2016/11/30,1,422
2016/12/01,1,423
2016/12/02,4,427
2016/12/03,2,429
2016/12/04,2,431
2016/12/05,3,434
2016/12/06,3,437
2016/12/07,1,438
2016/12/08,2,440
2016/12/09,1,441
2016/12/10,5,446
2016/12/11,1,447
2016/12/12,2,449
2016/12/14,1,450
2016/12/15,2,452
2016/12/16,2,454
2016/12/19,1,455
2016/12/20,1,456
2016/12/21,2,458
2016/12/22,3,461
2016/12/23,3,464
2016/12/26,2,466
2016/12/27,3,469
2016/12/28,2,471
2016/12/29,4,475
2016/12/30,1,476
2016/12/31,4,480
2017/01/02,1,481
2017/01/03,2,483
2017/01/04,2,485
2017/01/05,1,486
2017/01/07,3,489
2017/01/08,1,490
2017/01/09,4,494
2017/01/10,2,496
2017/01/11,4,500
2017/01/12,2,502
2017/01/13,1,503
2017/01/16,4,507
2017/01/17,1,508
2017/01/19,2,510
2017/01/20,3,513
2017/01/22,1,514
2017/01/24,1,515
2017/01/25,2,517
2017/01/29,1,518
2017/01/30,1,519
2017/01/31,3,522
2017/02/02,4,526
2017/02/03,2,528
2017/02/04,3,531
2017/02/05,1,532
2017/02/07,3,535
2017/02/08,1,536
2017/02/09,3,539
2017/02/10,2,541
2017/02/12,2,543
2017/02/13,1,544
2017/02/14,1,545
2017/02/15,2,547
2017/02/17,3,550
2017/02/21,1,551
2017/02/22,2,553
2017/02/23,2,555
2017/02/24,5,560
2017/02/25,1,561
2017/02/27,2,563
2017/02/28,3,566
2017/03/01,1,567
2017/03/02,1,568
2017/03/04,1,569
2017/03/05,2,571
2017/03/06,3,574
2017/03/07,3,577
2017/03/08,1,578
2017/03/09,6,584
2017/03/11,1,585
2017/03/13,1,586
2017/03/14,3,589
2017/03/15,3,592
2017/03/16,1,593
2017/03/17,2,595
2017/03/18,1,596
2017/03/19,4,600
2017/03/20,3,603
2017/03/21,3,606
2017/03/22,5,611
2017/03/23,1,612
2017/03/24,3,615
2017/03/25,2,617
2017/03/26,2,619
2017/03/27,6,625
2017/03/28,5,630
2017/03/30,6,636
2017/03/31,3,639
2017/04/01,1,640
2017/04/02,3,643
2017/04/05,3,646
2017/04/06,2,648
2017/04/07,4,652
2017/04/08,1,653
2017/04/09,1,654
2017/04/10,5,659
2017/04/12,2,661
2017/04/13,2,663
2017/04/14,4,667
2017/04/15,2,669
2017/04/16,4,673
2017/04/18,2,675
2017/04/19,4,679
2017/04/20,4,683
2017/04/22,2,685
2017/04/25,1,686
2017/04/26,2,688
2017/04/27,5,693
2017/04/28,1,694
2017/04/29,1,695
2017/05/02,5,700
2017/05/03,5,705
2017/05/04,6,711
2017/05/05,6,717
2017/05/06,1,718
2017/05/07,2,720
2017/05/10,5,725
2017/05/11,1,726
2017/05/12,4,730
2017/05/13,1,731
2017/05/14,1,732
2017/05/15,3,735
2017/05/16,3,738
2017/05/17,5,743
2017/05/18,2,745
2017/05/20,4,749
2017/05/22,2,751
2017/05/23,1,752
2017/05/24,4,756
2017/05/25,7,763
2017/05/26,2,765
2017/05/27,1,766
2017/05/29,2,768
2017/05/30,2,770
2017/05/31,1,771
2017/06/01,3,774
2017/06/02,3,777
2017/06/03,5,782
2017/06/04,4,786
2017/06/05,2,788
2017/06/06,2,790
2017/06/07,1,791
2017/06/08,1,792
2017/06/09,4,796
2017/06/10,2,798
2017/06/11,3,801
2017/06/12,1,802
2017/06/13,5,807
2017/06/14,2,809
2017/06/15,3,812
2017/06/16,2,814
2017/06/17,1,815
2017/06/18,2,817
2017/06/19,3,820
2017/06/20,1,821
2017/06/21,4,825
2017/06/22,5,830
2017/06/23,3,833
2017/06/24,3,836
2017/06/26,4,840
2017/06/27,5,845
2017/06/28,4,849
2017/06/29,1,850
2017/06/30,2,852
2017/07/02,3,855
2017/07/03,1,856
2017/07/04,3,859
2017/07/05,6,865
2017/07/06,6,871
2017/07/07,4,875
2017/07/09,2,877
2017/07/10,2,879
2017/07/11,5,884
2017/07/12,11,895
2017/07/13,2,897
2017/07/14,4,901
2017/07/16,4,905
2017/07/17,4,909
2017/07/18,3,912
2017/07/19,4,916
2017/07/20,2,918
2017/07/21,3,921
2017/07/24,3,924
2017/07/25,3,927
2017/07/27,4,931
2017/07/29,1,932
2017/07/30,1,933
2017/07/31,2,935
2017/08/01,4,939
2017/08/02,2,941
2017/08/03,2,943
2017/08/04,4,947
2017/08/05,1,948
2017/08/07,2,950
2017/08/08,1,951
2017/08/09,2,953
2017/08/10,3,956
2017/08/11,4,960
2017/08/12,2,962
2017/08/14,2,964
